Categoría,Pregunta,Respuesta Correcta
Deportes,¿Cuál es el deporte más popular del mundo?,Fútbol
Deportes,¿En qué año se celebraron los primeros Juegos Olímpicos modernos?,1896
Deportes,¿Qué país ganó la Copa Mundial de Fútbol en 2018?,Francia
Química,¿Cuál es el elemento químico con el símbolo 'O'?,Oxígeno
Química,¿Qué tipo de enlace se forma entre dos átomos que comparten electrones?,Enlace covalente
Química,¿Cuál es el pH de una solución neutra?,7
Biología,¿Cuál es la unidad básica de la vida?,Célula
Biología,¿Qué parte de la célula es responsable de la producción de energía?,Mitocondria
Biología,¿Cuál es el proceso por el cual las plantas convierten la luz solar en energía?,Fotosíntesis
Matemática,¿Cuál es el valor de π (pi) aproximadamente?,3.14
Matemática,¿Qué es un número primo?,Un número divisible solo por 1 y por sí mismo
Matemática,¿Cuál es la fórmula para calcular el área de un triángulo?,(Base x Altura) / 2
Física,¿Qué ley establece que la fuerza es igual a la masa por la aceleración?,Ley de Newton
Física,¿Qué unidad se utiliza para medir la fuerza?,Newton
Física,¿Cuál es la velocidad de la luz en el vacío?,"300,000 km/s"
Arte,¿Quién es conocido como el padre del cubismo?,Pablo Picasso
Arte,¿Qué movimiento artístico se caracteriza por su enfoque en la luz y el color?,Impresionismo
Arte,¿Cuál es la obra más famosa de Leonardo da Vinci?,La Gioconda
Geografía,¿Cuál es el río más largo del mundo?,Amazonas
Geografía,¿Qué continente es conocido como el 'continente negro'?,África
Geografía,¿Cuál es la capital de Japón?,Tokio
Mascotas,¿Cuál es la mascota más común en los hogares?,Perro
Mascotas,¿Qué tipo de animal es un 'canario'?,Ave
Mascotas,¿Cuál es la esperanza de vida promedio de un perro?,10 años
Música,¿Quién es conocido como el 'Rey del Rock'?,Elvis Presley
Música,¿Qué instrumento musical tiene teclas blancas y negras?,Piano
Música,¿Cuál es el género musical que se originó en Jamaica?,Reggae
Entretenimiento,¿Cuál es la serie de televisión más vista de todos los tiempos?,Friends
Entretenimiento,¿Qué película ganó el Oscar a la Mejor Película en 2020?,Parasite
Entretenimiento,¿Quién es el creador de la exitosa serie 'The Simpsons'?,Matt Groening
